"word" "RSA" "havg" "hstd"
laughter -2 8.5 0.9313
happiness 1 8.44 0.9723
love 0 8.42 1.1082
happy 3 8.3 0.9949
laughed -1 8.26 1.1572
laugh 1 8.22 1.3746
laughing 2 8.2 1.1066
excellent -3 8.18 1.1008
laughs 0 8.18 1.1551
joy 3 8.16 1.0568
successful -4 8.16 1.0759
win 1 8.12 1.0812
rainbow -1 8.1 0.9949
smile 1 8.1 1.0152
won 1 8.1 1.2164
pleasure -2 8.08 0.9655
smiled 0 8.08 1.066
rainbows -2 8.06 1.3603
winning 3 8.04 1.049
celebration -3 8.02 1.5318
enjoyed 1 8.02 1.5318
healthy 1 8.02 1.0593
music 1 8.02 1.1156
celebrating -5 8 1.1429
congratulations -1 8 1.6288
weekend -3 8 1.2936
celebrate -7 7.98 1.1516
comedy 0 7.98 1.1516
jokes 1 7.98 0.9792
rich 0 7.98 1.3169
victory -1 7.98 1.0784
christmas -3 7.96 1.293
free -4 7.96 1.261
friendship 0 7.96 1.1241
fun 1 7.96 1.3087
holidays 2 7.96 1.261
loved -1 7.96 1.1599
loves -1 7.96 1.3696
loving 2 7.96 1.0093
beach -3 7.94 1.0577
hahaha 0 7.94 1.5572
kissing 1 7.94 1.1323
sunshine 2 7.94 1.1678
beautiful -1 7.92 1.1753
delicious 1 7.92 1.2591
friends -3 7.92 1.1925
funny 3 7.92 1.0467
outstanding -1 7.92 1.14
paradise -4 7.92 1.3974
sweetest -8 7.92 1.2911
vacation -2 7.92 1.9042
butterflies -5 7.92 1.077
freedom -3 7.9 1.4178
flower -2 7.88 1.1718
great -5 7.88 1.2061
sunlight 2 7.88 1.4934
sweetheart -8 7.88 1.272
sweetness -7 7.88 1.1891
award -5 7.86 1.5651
chocolate -1 7.86 1.0304
hahahaha 0 7.86 1.7025
heaven -2 7.86 1.578
peace -3 7.86 1.3403
splendid 0 7.86 1.457
success -5 7.86 1.6414
enjoying 4 7.84 1.5032
kissed -2 7.84 1.5048
attraction -4 7.82 1.024
celebrated -8 7.8 1.178
hero 0 7.8 1.3997
hugs 0 7.8 1.4428
positive 0 7.8 1.2454
sun 1 7.8 1.3553
birthday -2 7.78 1.9091
blessed -5 7.78 1.2824
fantastic -5 7.78 1.0934
winner 0 7.78 1.6938
delight -1 7.78 1.4181
beauty -2 7.76 1.6107
butterfly -3 7.76 1.3334
entertainment -3 7.76 1.2216
funniest 0 7.76 1.5592
honesty 1 7.76 1.2707
sky 1 7.76 1.0797
smiles 0 7.76 1.7907
succeed -5 7.76 1.6971
wonderful -1 7.76 1.7907
glorious 2 7.74 1.3969
kisses -2 7.74 1.192
promotion 5 7.74 1.3822
family 2 7.72 1.3099
gift -2 7.72 1.3407
humor 3 7.72 1.0887
romantic 0 7.72 1.1959
cupcakes -2 7.7 1.233
festival -4 7.7 1.0738
hahahahaha 0 7.7 1.359
honour 4 7.7 1.2495
relax -3 7.7 1.0738
weekends -4 7.7 1.7871
angel -1 7.68 1.2362
bonus 1 7.68 1.463
brilliant 1 7.68 1.6218
diamonds 0 7.68 1.4769
holiday 3 7.68 1.3005
lucky 3 7.68 1.2688
mother 0 7.68 1.6714
super -1 7.68 1.5964
amazing -1 7.66 1.493
angels -2 7.66 1.4654
enjoy 3 7.66 1.4654
friend -2 7.66 1.5066
friendly 0 7.66 1.5467
profit 0 7.66 1.239
finest -2 7.66 1.3875
bday -2 7.64 1.6753
